date,temperature
24-02-03-22-03-53,19
24-02-03-22-03-53,18
24-02-03-22-03-53,19
24-02-03-22-03-53,18
24-02-03-22-03-53,19
24-02-03-22-03-53,19
24-02-03-22-03-54,18
24-02-03-22-03-54,20
24-02-03-22-03-54,18
24-02-03-22-03-54,18
24-02-03-22-03-54,20
24-02-03-22-03-54,19
24-02-03-22-03-55,18
24-02-03-22-03-55,20
24-02-03-22-03-58,18
24-02-03-22-03-58,18
24-02-03-22-04-01,18
24-02-03-22-04-01,18
24-02-03-22-04-03,20
24-02-03-22-04-03,18
24-02-03-22-04-03,19
24-02-03-22-04-03,20
24-02-03-22-04-04,20
24-02-03-22-04-04,18
24-02-03-22-04-04,18
24-02-03-22-04-04,20
24-02-03-22-04-05,18
24-02-03-22-04-05,18
24-02-03-22-04-09,19
24-02-03-22-04-09,19
24-02-03-22-04-25,19
24-02-03-22-04-25,19
24-02-03-22-04-26,19
24-02-03-22-04-26,18
24-02-03-22-04-27,18
24-02-03-22-04-27,18
24-02-03-22-04-27,18
24-02-03-22-04-28,18
24-02-03-22-04-28,18
24-02-03-22-04-29,18
24-02-03-22-04-29,18
24-02-03-22-04-30,18
24-02-03-22-04-30,19
24-02-03-22-04-32,19
24-02-03-22-04-32,18
24-02-03-22-04-33,19
24-02-03-22-04-33,18
24-02-03-22-04-34,19
24-02-03-22-04-34,19
24-02-03-22-04-34,19
24-02-03-22-04-35,19
24-02-03-22-04-35,20
24-02-03-22-04-35,19
24-02-03-22-04-36,18
24-02-03-22-04-36,19
24-02-03-22-04-40,19
24-02-03-22-04-40,18
24-02-03-22-04-42,18
24-02-03-22-04-42,18
24-02-03-22-04-42,18
24-02-03-22-04-42,19
24-02-03-22-04-42,19
24-02-03-22-04-43,20
24-02-03-22-04-43,20
24-02-03-22-04-43,18
24-02-03-22-04-44,18
24-02-03-22-04-44,18
24-02-03-22-04-44,18
24-02-03-22-04-45,19
24-02-03-22-04-45,18
24-02-03-22-04-45,18
24-02-03-22-04-46,18
24-02-03-22-04-46,18
24-02-03-22-04-46,19
24-02-03-22-04-47,18
24-02-03-22-04-47,20
24-02-03-22-04-47,18
24-02-03-22-04-48,18
24-02-03-22-04-52,18
24-02-03-22-04-54,18
24-02-03-22-04-54,18
24-02-03-22-04-56,18
24-02-03-22-04-57,20
24-02-03-22-04-58,18
24-02-03-22-04-58,18
24-02-03-22-04-58,19
24-02-03-22-04-58,18
24-02-03-22-04-59,18
24-02-03-22-04-59,20
24-02-03-22-05-00,18
24-02-03-22-05-00,19
24-02-03-22-05-00,20
24-02-03-22-05-01,19
24-02-03-22-05-01,18
24-02-03-22-05-01,20
24-02-03-22-05-01,18
24-02-03-22-05-01,18
24-02-03-22-05-02,19
24-02-03-22-05-02,19
24-02-03-22-05-03,19
24-02-03-22-05-03,20
24-02-03-22-05-04,19
24-02-03-22-05-04,18
24-02-03-22-05-04,18
24-02-03-22-05-04,18
24-02-03-22-05-05,18
24-02-03-22-05-05,18
